state,district_id,incumbent,incumbent_party,presidential_winner,house_winner_party,house_winner,split_ticket_type,in_redrawn_state
PA,PA-6,Chrissy Houlahan,D,Harris,D,Democrat,Same party won president and House,FALSE
PA,PA-7,Ryan Mackenzie,R,Trump,R,Republican,Same party won president and House,FALSE
PA,PA-8,Rob Bresnahan,R,Trump,R,Republican,Same party won president and House,FALSE
PA,PA-9,Dan Meuser,R,Trump,R,Republican,Same party won president and House,FALSE
PA,PA-10,Scott Perry,R,Trump,R,Republican,Same party won president and House,FALSE
PA,PA-11,Lloyd Smucker,R,Trump,R,Republican,Same party won president and House,FALSE
PA,PA-12,Summer Lee,D,Harris,D,Democrat,Same party won president and House,FALSE
PA,PA-13,John Joyce,R,Trump,R,Republican,Same party won president and House,FALSE
PA,PA-14,Guy Reschenthaler,R,Trump,R,Republican,Same party won president and House,FALSE
PA,PA-15,Glenn Thompson,R,Trump,R,Republican,Same party won president and House,FALSE
PA,PA-16,Mike Kelly,R,Trump,R,Republican,Same party won president and House,FALSE
PA,PA-17,Chris Deluzio,D,Harris,D,Democrat,Same party won president and House,FALSE
RI,RI-1,Gabe Amo,D,Harris,D,Democrat,Same party won president and House,FALSE
RI,RI-2,Seth Magaziner,D,Harris,D,Democrat,Same party won president and House,FALSE
SC,SC-1,Nancy Mace,R,Trump,R,Republican,Same party won president and House,FALSE
SC,SC-2,Joe Wilson,R,Trump,R,Republican,Same party won president and House,FALSE
SC,SC-3,Sheri Biggs,R,Trump,R,Republican,Same party won president and House,FALSE
SC,SC-4,William Timmons,R,Trump,R,Republican,Same party won president and House,FALSE
SC,SC-5,Ralph Norman,R,Trump,R,Republican,Same party won president and House,FALSE
SC,SC-6,Jim Clyburn,D,Harris,D,Democrat,Same party won president and House,FALSE
SC,SC-7,Russell Fry,R,Trump,R,Republican,Same party won president and House,FALSE
SD,SD-AL,Dusty Johnson,R,Trump,R,Republican,Same party won president and House,FALSE
TN,TN-1,Diana Harshbarger,R,Trump,R,Republican,Same party won president and House,TRUE
TN,TN-2,Tim Burchett,R,Trump,R,Republican,Same party won president and House,TRUE
TN,TN-3,Chuck Fleischmann,R,Trump,R,Republican,Same party won president and House,TRUE
TN,TN-4,Scott DesJarlais,R,Trump,R,Republican,Same party won president and House,TRUE
TN,TN-5,Andy Ogles,R,Trump,R,Republican,Same party won president and House,TRUE
TN,TN-6,John Rose,R,Trump,R,Republican,Same party won president and House,TRUE
TN,TN-7,Matt Van Epps,R,Trump,R,Republican,Same party won president and House,TRUE
TN,TN-8,David Kustoff,R,Trump,R,Republican,Same party won president and House,TRUE
TN,TN-9,Steve Cohen,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-1,Nathaniel Moran,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-2,Dan Crenshaw,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-3,Keith Self,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-4,Pat Fallon,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-5,Lance Gooden,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-6,Jake Ellzey,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-7,Lizzie Fletcher,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-8,Morgan Luttrell,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-9,Al Green,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-10,Michael McCaul,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-11,August Pfluger,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-12,Craig Goldman,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-13,Ronny Jackson,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-14,Randy Weber,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-15,Monica De La Cruz,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-16,Veronica Escobar,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-17,Pete Sessions,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-18,Christian Menefee,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-19,Jodey Arrington,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-20,Joaquin Castro,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-21,Chip Roy,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-22,Troy Nehls,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-23,VACANT (Gonzales),R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-24,Beth Van Duyne,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-25,Roger Williams,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-26,Brandon Gill,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-27,Michael Cloud,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-28,Henry Cuellar,D,Trump,D,Democrat,Democrat won Trump district,TRUE
TX,TX-29,Sylvia Garcia,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-30,Jasmine Crockett,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-31,John Carter,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-32,Julie Johnson,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-33,Marc Veasey,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-34,Vicente Gonzalez,D,Trump,D,Democrat,Democrat won Trump district,TRUE
TX,TX-35,Greg Casar,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-36,Brian Babin,R,Trump,R,Republican,Same party won president and House,TRUE
TX,TX-37,Lloyd Doggett,D,Harris,D,Democrat,Same party won president and House,TRUE
TX,TX-38,Wesley Hunt,R,Trump,R,Republican,Same party won president and House,TRUE
UT,UT-1,Blake Moore,R,Trump,R,Republican,Same party won president and House,TRUE
UT,UT-2,Celeste Maloy,R,Trump,R,Republican,Same party won president and House,TRUE
UT,UT-3,Mike Kennedy,R,Trump,R,Republican,Same party won president and House,TRUE
UT,UT-4,Burgess Owens,R,Trump,R,Republican,Same party won president and House,TRUE
VA,VA-1,Rob Wittman,R,Trump,R,Republican,Same party won president and House,FALSE
VA,VA-2,Jen Kiggans,R,Trump,R,Republican,Same party won president and House,FALSE
VA,VA-3,Bobby Scott,D,Harris,D,Democrat,Same party won president and House,FALSE
VA,VA-4,Jennifer McClellan,D,Harris,D,Democrat,Same party won president and House,FALSE
VA,VA-5,John McGuire,R,Trump,R,Republican,Same party won president and House,FALSE
VA,VA-6,Ben Cline,R,Trump,R,Republican,Same party won president and House,FALSE
VA,VA-7,Eugene Vindman,D,Harris,D,Democrat,Same party won president and House,FALSE
VA,VA-8,Don Beyer,D,Harris,D,Democrat,Same party won president and House,FALSE
VA,VA-9,Morgan Griffith,R,Trump,R,Republican,Same party won president and House,FALSE
VA,VA-10,Suhas Subramanyam,D,Harris,D,Democrat,Same party won president and House,FALSE
VA,VA-11,James Walkinshaw,D,Harris,D,Democrat,Same party won president and House,FALSE
VT,VT-AL,Becca Balint,D,Harris,D,Democrat,Same party won president and House,FALSE
WA,WA-1,Suzan DelBene,D,Harris,D,Democrat,Same party won president and House,FALSE
WA,WA-2,Rick Larsen,D,Harris,D,Democrat,Same party won president and House,FALSE
WA,WA-3,Marie Gluesenkamp Perez,D,Trump,D,Democrat,Democrat won Trump district,FALSE
WA,WA-4,Dan Newhouse,R,Trump,R,Republican,Same party won president and House,FALSE
WA,WA-5,Michael Baumgartner,R,Trump,R,Republican,Same party won president and House,FALSE
WA,WA-6,Emily Randall,D,Harris,D,Democrat,Same party won president and House,FALSE
WA,WA-7,Pramila Jayapal,D,Harris,D,Democrat,Same party won president and House,FALSE
WA,WA-8,Kim Schrier,D,Harris,D,Democrat,Same party won president and House,FALSE
WA,WA-9,Adam Smith,D,Harris,D,Democrat,Same party won president and House,FALSE
WA,WA-10,Marilyn Strickland,D,Harris,D,Democrat,Same party won president and House,FALSE
WI,WI-1,Bryan Steil,R,Trump,R,Republican,Same party won president and House,FALSE
WI,WI-2,Mark Pocan,D,Harris,D,Democrat,Same party won president and House,FALSE
WI,WI-3,Derrick Van Orden,R,Trump,R,Republican,Same party won president and House,FALSE
WI,WI-4,Gwen Moore,D,Harris,D,Democrat,Same party won president and House,FALSE
WI,WI-5,Scott Fitzgerald,R,Trump,R,Republican,Same party won president and House,FALSE
WI,WI-6,Glenn Grothman,R,Trump,R,Republican,Same party won president and House,FALSE
WI,WI-7,Tom Tiffany,R,Trump,R,Republican,Same party won president and House,FALSE
WI,WI-8,Tony Wied,R,Trump,R,Republican,Same party won president and House,FALSE
WV,WV-1,Carol Miller,R,Trump,R,Republican,Same party won president and House,FALSE
WV,WV-2,Riley Moore,R,Trump,R,Republican,Same party won president and House,FALSE
WY,WY-AL,Harriet Hageman,R,Trump,R,Republican,Same party won president and House,FALSE
